 Destination Port	 Flow Duration	 Total Fwd Packets	 Total Backward Packets	Total Length of Fwd Packets	 Total Length of Bwd Packets	 Fwd Packet Length Max	 Fwd Packet Length Min	 Fwd Packet Length Mean	 Fwd Packet Length Std	Bwd Packet Length Max	 Bwd Packet Length Min	 Bwd Packet Length Mean	 Bwd Packet Length Std	Flow Bytes/s	 Flow Packets/s	 Flow IAT Mean	 Flow IAT Std	 Flow IAT Max	 Flow IAT Min	Fwd IAT Total	 Fwd IAT Mean	 Fwd IAT Std	 Fwd IAT Max	 Fwd IAT Min	Bwd IAT Total	 Bwd IAT Mean	 Bwd IAT Std	 Bwd IAT Max	 Bwd IAT Min	Fwd PSH Flags	 Bwd PSH Flags	 Fwd URG Flags	 Bwd URG Flags	 Fwd Header Length	 Bwd Header Length	Fwd Packets/s	 Bwd Packets/s	 Min Packet Length	 Max Packet Length	 Packet Length Mean	 Packet Length Std	 Packet Length Variance	FIN Flag Count	 SYN Flag Count	 RST Flag Count	 PSH Flag Count	 ACK Flag Count	 URG Flag Count	 CWE Flag Count	 ECE Flag Count	 Down/Up Ratio	 Average Packet Size	 Avg Fwd Segment Size	 Avg Bwd Segment Size	 Fwd Header Length	Fwd Avg Bytes/Bulk	 Fwd Avg Packets/Bulk	 Fwd Avg Bulk Rate	 Bwd Avg Bytes/Bulk	 Bwd Avg Packets/Bulk	Bwd Avg Bulk Rate	Subflow Fwd Packets	 Subflow Fwd Bytes	 Subflow Bwd Packets	 Subflow Bwd Bytes	Init_Win_bytes_forward	 Init_Win_bytes_backward	 act_data_pkt_fwd	 min_seg_size_forward	Active Mean	 Active Std	 Active Max	 Active Min	Idle Mean	 Idle Std	 Idle Max	 Idle Min	 Label
80	153721	3	5	304	11595	304	0	101.3333333	175.5144818	8688	0	2319	3774.237539	77406.47016	52.04233644	21960.14286	51554.88837	138195	5	15030	7515	10620.74385	15025	5	153703	38425.75	66880.27186	138195	162	0	0	0	0	104	168	19.51587617	32.52646028	0	8688	1322.111111	2920.378762	8528612.111	0	0	0	1	0	0	0	0	1	1487.375	101.3333333	2319	104	0	0	0	0	0	0	3	304	5	11595	29200	235	1	32	0	0	0	0	0	0	0	0	DoS Hulk
80	990	2	0	0	0	0	0	0	0	0	0	0	0	0	2020.20202	990	0	990	990	990	990	0	990	990	0	0	0	0	0	0	0	0	0	64	0	2020.20202	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	64	0	0	0	0	0	0	2	0	0	0	251	-1	0	32	0	0	0	0	0	0	0	0	DoS Hulk
53	187	2	2	76	282	38	38	38	0	141	141	141	0	1914438.503	21390.37433	62.33333333	101.9035492	180	3	3	3	0	3	3	4	4	0	4	4	0	0	0	0	40	40	10695.18717	10695.18717	38	141	79.2	56.41542342	3182.7	0	0	0	0	0	0	0	0	1	99	38	141	40	0	0	0	0	0	0	2	76	2	282	-1	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
49424	87	1	1	0	0	0	0	0	0	0	0	0	0	0	22988.50575	87	0	87	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	11494.25287	11494.25287	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	32	0	0	0	0	0	0	1	0	1	0	905	229	0	32	0	0	0	0	0	0	0	0	BENIGN
443	115522195	32	36	5601	33546	1656	0	175.03125	492.3890073	2896	0	931.8333333	1019.912755	338.8699462	0.588631475	1724211.866	3748140.72	10000000	3	116000000	3726522.419	4833318.482	10000000	3	111000000	3164149.314	4725636.809	10000000	11	0	0	0	0	1032	1160	0.277003047	0.311628428	0	2896	567.3478261	890.747304	793430.7596	0	0	0	1	0	0	0	0	1	575.6911765	175.03125	931.8333333	1032	0	0	0	0	0	0	32	5601	36	33546	29200	1482	6	32	50645.36364	90095.64405	322283	23008	10000000	19567.40822	10000000	9959913	BENIGN
80	2002481	2	0	0	0	0	0	0	0	0	0	0	0	0	0.998761037	2002481	0	2002481	2002481	2002481	2002481	0	2002481	2002481	0	0	0	0	0	0	0	0	0	64	0	0.998761037	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	64	0	0	0	0	0	0	2	0	0	0	65535	-1	0	32	0	0	0	0	0	0	0	0	BENIGN
80	85055018	9	5	378	11595	378	0	42	126	5792	0	2319	3170.403917	140.7677087	0.164599342	6542693.692	23500000	84900000	1	84900000	10600000	30000000	84900000	1	174344	43586	59063.78578	125163	47	0	0	0	0	296	168	0.105813863	0.058785479	0	5792	798.2	2029.790355	4120048.886	0	0	0	0	1	0	0	0	0	855.2142857	42	2319	296	0	0	0	0	0	0	9	378	5	11595	251	235	1	32	986	0	986	986	84900000	0	84900000	84900000	DoS Hulk
443	4441609	13	9	576	6319	191	0	44.30769231	70.99575646	1568	0	702.1111111	749.131905	1552.36537	4.953159992	211505.1905	612013.5842	2336195	1	4441609	370134.0833	785487.6023	2336195	1	2705925	338240.625	820814.4173	2360646	4	0	0	0	0	280	192	2.926867268	2.026292724	0	1568	299.7826087	561.8651534	315692.4506	0	0	0	1	0	0	0	0	0	313.4090909	44.30769231	702.1111111	280	0	0	0	0	0	0	13	576	9	6319	29200	62	12	20	0	0	0	0	0	0	0	0	BENIGN
55944	14021	15	6	19897	0	2896	0	1326.466667	1136.570208	0	0	0	0	1419085.657	1497.75337	701.05	2604.197613	11607	1	14021	1001.5	3096.722852	11607	1	11845	2369	5292.772997	11837	1	0	0	0	0	496	208	1069.823836	427.9295343	0	2896	904.4090909	1122.979992	1261084.063	0	0	0	1	0	0	0	0	0	947.4761905	1326.466667	0	496	0	0	0	0	0	0	15	19897	6	0	29200	362	10	32	0	0	0	0	0	0	0	0	BENIGN
80	5116771	3	1	12	0	6	0	4	3.464101615	0	0	0	0	2.345229052	0.781743017	1705590.333	2933634.416	5093032	33	5116771	2558385.5	3584531.456	5093032	23739	0	0	0	0	0	0	0	0	0	72	32	0.586307263	0.195435754	0	6	2.4	3.286335345	10.8	0	0	0	1	0	0	0	0	0	3	4	0	72	0	0	0	0	0	0	3	12	1	0	8192	29200	2	20	0	0	0	0	0	0	0	0	BENIGN
34709	1	2	0	37	0	31	6	18.5	17.67766953	0	0	0	0	37000000	2000000	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	40	0	2000000	0	6	31	22.66666667	14.43375673	208.3333333	0	1	0	0	1	0	0	0	0	34	18.5	0	40	0	0	0	0	0	0	2	37	0	0	292	-1	1	20	0	0	0	0	0	0	0	0	BENIGN
80	101645000	10	8	1670	11595	334	0	167	176.0334564	2896	0	1449.375	1338.89474	130.503222	0.17708692	5979117.647	24200000	100000000	0	102000000	11300000	33300000	100000000	0	1672662	238951.7143	631603.6047	1671294	49	0	0	0	0	328	264	0.098381622	0.078705298	0	2896	698.1578947	1071.102561	1147260.696	0	0	0	0	1	0	0	0	0	736.9444444	167	1449.375	328	0	0	0	0	0	0	10	1670	8	11595	274	235	5	32	2	0	2	2	100000000	0	100000000	100000000	DoS Hulk
59076	62	1	1	6	6	6	6	6	0	6	6	6	0	193548.3871	32258.06452	62	0	62	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	16129.03226	16129.03226	6	6	6	0	0	0	0	0	0	1	1	0	0	1	9	6	6	20	0	0	0	0	0	0	1	6	1	6	913	16425	0	20	0	0	0	0	0	0	0	0	BENIGN
51635	96	1	1	0	0	0	0	0	0	0	0	0	0	0	20833.33333	96	0	96	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	10416.66667	10416.66667	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	32	0	0	0	0	0	0	1	0	1	0	365	32832	0	32	0	0	0	0	0	0	0	0	BENIGN
80	3	2	0	0	0	0	0	0	0	0	0	0	0	0	666666.6667	3	0	3	3	3	3	0	3	3	0	0	0	0	0	0	0	0	0	64	0	666666.6667	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	64	0	0	0	0	0	0	2	0	0	0	274	-1	0	32	0	0	0	0	0	0	0	0	DoS Hulk
53	288	2	2	58	122	29	29	29	0	61	61	61	0	625000	13888.88889	96	122.4622391	235	4	4	4	0	4	4	49	49	0	49	49	0	0	0	0	64	64	6944.444444	6944.444444	29	61	41.8	17.52712184	307.2	0	0	0	0	0	0	0	0	1	52.25	29	61	64	0	0	0	0	0	0	2	58	2	122	-1	-1	1	32	0	0	0	0	0	0	0	0	BENIGN
80	1013	6	0	0	0	0	0	0	0	0	0	0	0	0	5923.000987	202.6	447.4385991	1003	1	1013	202.6	447.4385991	1003	1	0	0	0	0	0	0	0	0	0	192	0	5923.000987	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	192	0	0	0	0	0	0	6	0	0	0	251	-1	0	32	0	0	0	0	0	0	0	0	DoS Hulk
80	100525841	6	8	658	11595	323	0	109.6666667	165.2690735	7240	0	1449.375	2446.639966	121.8890574	0.139267673	7732757	27800000	100000000	45	100000000	20100000	44800000	100000000	1007	101000000	14400000	37800000	100000000	45	0	0	0	0	176	264	0.059686146	0.079581528	0	7240	817.2666667	1868.875272	3492694.781	1	0	0	0	0	0	0	0	1	875.6428571	109.6666667	1449.375	176	0	0	0	0	0	0	6	658	8	11595	0	235	3	20	10993	0	10993	10993	100000000	0	100000000	100000000	DoS Hulk
